Treatment_number,suite_name,name_of_experiment,treatment_name,cultivar_name,institute_name,field_country,site_name,experiment_name_local,experiment_duration,field_latitude,field_longitude,field_elevation,weather_station_code,soil_profile_ID,rooting_depth
TRTNO,SUITE_NAME,EXNAME,TRT_NAME,CUL_NAME,INSTITUTION,FL_LOC_1,SITE_NAME,LOCAL_NAME,EXP_DUR,FL_LAT,FL_LONG,FLELE,WST_ID,SOIL_ID,SLRTD
1,DAS5_W4,sleida,DAS5_W4,soissons,uleida,Spain,uleida,DAS5_W4,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
2,DAS5_W8,sleida,DAS5_W8,soissons,uleida,Spain,uleida,DAS5_W8,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
3,DAS5_W12,sleida,DAS5_W12,soissons,uleida,Spain,uleida,DAS5_W12,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
4,DAS5_W16,sleida,DAS5_W16,soissons,uleida,Spain,uleida,DAS5_W16,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
5,DAS5_W20,sleida,DAS5_W20,soissons,uleida,Spain,uleida,DAS5_W20,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
6,DAS5_W24,sleida,DAS5_W24,soissons,uleida,Spain,uleida,DAS5_W24,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
7,DAS30_W4,sleida,DAS30_W4,soissons,uleida,Spain,uleida,DAS30_W4,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
8,DAS30_W8,sleida,DAS30_W8,soissons,uleida,Spain,uleida,DAS30_W8,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
9,DAS30_W12,sleida,DAS30_W12,soissons,uleida,Spain,uleida,DAS30_W12,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
10,DAS30_W16,sleida,DAS30_W16,soissons,uleida,Spain,uleida,DAS30_W16,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
11,DAS30_W20,sleida,DAS30_W20,soissons,uleida,Spain,uleida,DAS30_W20,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
12,DAS30_W24,sleida,DAS30_W24,soissons,uleida,Spain,uleida,DAS30_W24,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
13,DAS60_W4,sleida,DAS60_W4,soissons,uleida,Spain,uleida,DAS60_W4,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
14,DAS60_W8,sleida,DAS60_W8,soissons,uleida,Spain,uleida,DAS60_W8,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
15,DAS60_W12,sleida,DAS60_W12,soissons,uleida,Spain,uleida,DAS60_W12,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
16,DAS60_W16,sleida,DAS60_W16,soissons,uleida,Spain,uleida,DAS60_W16,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
17,DAS60_W20,sleida,DAS60_W20,soissons,uleida,Spain,uleida,DAS60_W20,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
18,DAS60_W24,sleida,DAS60_W24,soissons,uleida,Spain,uleida,DAS60_W24,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
19,DAS100_W4,sleida,DAS100_W4,soissons,uleida,Spain,uleida,DAS100_W4,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
20,DAS100_W8,sleida,DAS100_W8,soissons,uleida,Spain,uleida,DAS100_W8,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
21,DAS100_W12,sleida,DAS100_W12,soissons,uleida,Spain,uleida,DAS100_W12,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
22,DAS100_W16,sleida,DAS100_W16,soissons,uleida,Spain,uleida,DAS100_W16,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
23,DAS100_W20,sleida,DAS100_W20,soissons,uleida,Spain,uleida,DAS100_W20,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
24,DAS100_W24,sleida,DAS100_W24,soissons,uleida,Spain,uleida,DAS100_W24,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
25,DAS125_W4,sleida,DAS125_W4,soissons,uleida,Spain,uleida,DAS125_W4,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
26,DAS125_W8,sleida,DAS125_W8,soissons,uleida,Spain,uleida,DAS125_W8,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
27,DAS125_W12,sleida,DAS125_W12,soissons,uleida,Spain,uleida,DAS125_W12,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
28,DAS125_W16,sleida,DAS125_W16,soissons,uleida,Spain,uleida,DAS125_W16,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
29,DAS125_W20,sleida,DAS125_W20,soissons,uleida,Spain,uleida,DAS125_W20,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
30,DAS125_W24,sleida,DAS125_W24,soissons,uleida,Spain,uleida,DAS125_W24,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
31,DAS150_W4,sleida,DAS150_W4,soissons,uleida,Spain,uleida,DAS150_W4,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
32,DAS150_W8,sleida,DAS150_W8,soissons,uleida,Spain,uleida,DAS150_W8,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
33,DAS150_W12,sleida,DAS150_W12,soissons,uleida,Spain,uleida,DAS150_W12,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
34,DAS150_W16,sleida,DAS150_W16,soissons,uleida,Spain,uleida,DAS150_W16,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
35,DAS150_W20,sleida,DAS150_W20,soissons,uleida,Spain,uleida,DAS150_W20,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
36,DAS150_W24,sleida,DAS150_W24,soissons,uleida,Spain,uleida,DAS150_W24,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
37,DAS161_W4,sleida,DAS161_W4,soissons,uleida,Spain,uleida,DAS161_W4,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
38,DAS161_W8,sleida,DAS161_W8,soissons,uleida,Spain,uleida,DAS161_W8,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
39,DAS161_W12,sleida,DAS161_W12,soissons,uleida,Spain,uleida,DAS161_W12,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
40,DAS161_W16,sleida,DAS161_W16,soissons,uleida,Spain,uleida,DAS161_W16,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
41,DAS161_W20,sleida,DAS161_W20,soissons,uleida,Spain,uleida,DAS161_W20,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
42,DAS161_W24,sleida,DAS161_W24,soissons,uleida,Spain,uleida,DAS161_W24,300,41.6,0.62,77,LLEI,LLWatelg01,1.25
